REEL NO,SIZE,GSM,BF,SHADE,WEIGHT
7054,52,120,16,NATURAL,667
7263,49,80,18,NATURAL,596
7413,32,100,18,NATURAL,395
7119,52,100,18,NATURAL,646
7385,39,120,16,NATURAL,524
7369,27,120,16,NATURAL,330
7376,27,120,16,NATURAL,306
7241,63,140,16,NATURAL,844
7234,44,80,16,NATURAL,501
6992,27,100,16,NATURAL,372
5608,60,100,18,NATURAL,594
5606,60.5,100,16,NATURAL,625
6905,27,100,16,NATURAL,323
6301,49,100,18,NATURAL,621
7312,37,100,16,NATURAL,471
6969,48,120,18,NATURAL,594
6575,57,80,16,NATURAL,603
7387,47,120,16,NATURAL,619
7899,30,100,16,NATURAL,367
7409,26,100,16,NATURAL,329
7411,48,100,18,NATURAL,580
7384,48.5,120,18,NATURAL,582
7383,62,120,16,NATURAL,782
4430,42,120,16,NATURAL,546
3941,43,120,16,NATURAL,597
7096,51,80,16,NATURAL,624
5275,62,100,16,NATURAL,795
7268,52,120,16,NATURAL,684
4801,49,100,16,NATURAL,614
3041,61,120,16,NATURAL,757
7098,51,80,16,NATURAL,617
7140,53.5,140,16,NATURAL,727
3024,61,120,16,NATURAL,795
4741,44,120,16,NATURAL,
7091,37,80,16,NATURAL,448
7092,41,80,16,NATURAL,490
6590,42,80,16,NATURAL,490
6604,42,80,16,NATURAL,522
4268,52,140,16,NATURAL,668
7075,42,80,18,NATURAL,505
7357,41,140,16,NATURAL,527
5585,54.5,100,16,NATURAL,565
6217,44.25,100,16,NATURAL,541
6641,30,100,16,NATURAL,
3332,64,100,16,NATURAL,
6653,50,100,16,NATURAL,653
6256,44,120,16,NATURAL,568
4828,44.5,80,16,NATURAL,450
4410,38,120,16,NATURAL,450
7318,28,140,16,NATURAL,341
7251,49,80,16,NATURAL,576
4005,40.5,100,16,NATURAL,594
6306,36.6,100,16,NATURAL,445
6382,36.6,100,16,NATURAL,463
6387,36.6,100,16,NATURAL,438
6394,36.6,100,16,NATURAL,451
3373,40,120,16,NATURAL,446
4832,46,120,16,NATURAL,453
6336,36.6,100,16,NATURAL,463
6808,36.6,100,16,NATURAL,458
6890,36.5,100,16,NATURAL,402
7047,38.2,120,16,NATURAL,482
6384,36.6,100,16,NATURAL,484
5272,49,100,16,NATURAL,623
6392,36.6,100,16,NATURAL,463
6602,42,80,16,NATURAL,516
6388,36.6,100,16,NATURAL,473
6860,33,120,16,NATURAL,427
6400,36.6,100,16,NATURAL,514
7232,27,80,16,NATURAL,512
6363,36.6,100,16,NATURAL,461
5718,34,100,16,NATURAL,425
3942,36.6,100,16,NATURAL,456
6867,44,140,18,NATURAL,550
2043,41,120,16,NATURAL,523
4223,33,120,16,NATURAL,385
5870,26,100,16,NATURAL,281
1342,28,80,16,NATURAL,381
4940,22,80,16,NATURAL,249
1437,24,100,16,NATURAL,252
1338,28,80,16,NATURAL,341
1148,21,80,16,NATURAL,272
3295,25,120,16,NATURAL,278
4937,22,80,16,NATURAL,259
2728,37,100,16,NATURAL,389
6222,44.25,100,16,NATURAL,488
6219,44.25,100,16,NATURAL,
6380,36.6,100,16,NATURAL,453
6545,37,140,16,NATURAL,471
7052,38.2,120,16,NATURAL,488
5542,37,140,16,NATURAL,484
6398,36.6,100,16,NATURAL,512
5724,26,100,16,NATURAL,332
7094,38.2,120,16,NATURAL,470
6361,36.6,100,16,NATURAL,467
6396,36.6,100,16,NATURAL,470
5040,46,120,18,NATURAL,505
5534,32,140,16,NATURAL,419
5753,55,140,16,NATURAL,602
7656,34,80,18,NATURAL,416
7478,25,100,16,NATURAL,303
7482,26,100,18,NATURAL,276
5888,45,120,18,NATURAL,611
7252,49,80,16,NATURAL,572
6344,50,120,16,NATURAL,686
7359,42,140,16,NATURAL,590
4830,37,120,18,NATURAL,454
7390,48.5,100,16,NATURAL,592
5048,28,120,18,NATURAL,326
7408,26,100,18,NATURAL,337
7386,30,120,16,NATURAL,407
7406,30,100,18,NATURAL,304
7247,22,80,16,NATURAL,340
7336,44,140,16,NATURAL,552
7342,42,140,16,NATURAL,615
7350,42,100,16,NATURAL,554
7333,44,140,16,NATURAL,541
7410,32,100,18,NATURAL,415
7345,42,140,16,NATURAL,612
7320,36,120,16,NATURAL,451
7227,40,120,16,NATURAL,582
7348,45,140,16,NATURAL,554
7307,48,100,16,NATURAL,621
7045,36.2,120,16,NATURAL,495
7356,44,140,16,NATURAL,580
7053,38.2,120,16,NATURAL,464
7352,44,140,16,NATURAL,579
7044,38.2,120,16,NATURAL,483
7281,22,100,16,NATURAL,289
640,36.6,100,16,NATURAL,469
4991,28,80,16,NATURAL,328
4977,23,80,16,NATURAL,276
4937,22,80,16,NATURAL,251
3263,28,140,16,NATURAL,366
4963,26,80,16,NATURAL,
4938,26,80,16,NATURAL,318
3228,25,120,16,NATURAL,283
6233,34,100,18,NATURAL,401
1151,24,80,16,NATURAL,312
7424,21,80,16,NATURAL,275
7400,30,100,16,NATURAL,375
7426,48,80,18,NATURAL,607
7340,24,140,16,NATURAL,309
7380,39,120,16,NATURAL,493
7265,36,120,16,NATURAL,477
7026,32,120,16,NATURAL,427
7355,30,140,16,NATURAL,405
7074,42,80,18,NATURAL,520
6510,34,120,16,NATURAL,447
3951,35.5,100,16,NATURAL,441
7393,36,100,16,NATURAL,437
6318,29,100,16,NATURAL,372
7405,26,100,18,NATURAL,251
7415,26,100,18,NATURAL,305
1550,33,120,16,NATURAL,378
7090,37,80,16,NATURAL,440
7352,30,140,16,NATURAL,402
7431,21,80,16,NATURAL,278
7311,32,100,18,NATURAL,401
4773,55,100,18,NATURAL,705
7103,48,120,16,NATURAL,636
7310,42,100,18,NATURAL,605
7272,40,100,16,NATURAL,481
7269,52,120,16,NATURAL,654
7171,52,120,16,NATURAL,666
7347,42,140,16,NATURAL,614
5197,23,140,18,NATURAL,296
7161,36,120,16,NATURAL,463
7131,48,140,16,NATURAL,645
7137,39.5,140,16,NATURAL,502
7036,27,120,16,NATURAL,330
7203,36,100,16,NATURAL,431
7167,36,120,16,NATURAL,473
4058,25,120,16,NATURAL,355
4970,26,80,16,NATURAL,280
5656,22,120,16,NATURAL,260
4173,27,80,16,NATURAL,321
5617,26,120,16,NATURAL,296
4961,26,80,16,NATURAL,326
6394,27,70,16,NATURAL,
7282,26,100,18,NATURAL,314
7037,29,120,16,NATURAL,367
7127,38.5,100,16,NATURAL,488
4949,28,80,16,NATURAL,348
7166,36,120,16,NATURAL,466
7128,38.5,100,16,NATURAL,490
7123,38.5,100,16,NATURAL,473
6431,39.5,140,16,NATURAL,541
7394,36,100,16,NATURAL,438
7014,42,120,16,NATURAL,574
6628,57,100,16,NATURAL,763
5300,60.5,100,16,NATURAL,756
5602,60.5,100,16,NATURAL,
7117,52,100,18,NATURAL,616
7057,31,120,16,NATURAL,384
5602,60.5,100,16,NATURAL,
7111,50,120,16,NATURAL,652
3346,37,100,16,NATURAL,454
6444,44,140,16,NATURAL,544
4267,28.5,140,16,NATURAL,373
6200,27,100,16,NATURAL,316
5042,28,120,18,NATURAL,355
5533,32,140,16,NATURAL,392
4746,37,120,16,NATURAL,448
4270,77CM,100,16,NATURAL,379
6570,46,120,16,NATURAL,685
7050,38.2,120,16,NATURAL,480
7046,38.2,120,16,NATURAL,473
5303,49,100,16,NATURAL,612
7428,48,80,18,NATURAL,586
6358,52,120,16,NATURAL,785
5645,36,120,16,NATURAL,485
5653,29,120,16,NATURAL,345
4828,37,120,16,NATURAL,482
3029,36.5,120,16,NATURAL,471
4691,44,120,16,NATURAL,560
1305,26.5,140,16,NATURAL,357
2785,55,140,16,NATURAL,749
1484,52,80,16,NATURAL,716
2641,36,120,16,NATURAL,502
2145,45.5,120,16,NATURAL,506
4795,49,100,18,NATURAL,594
4221,33,120,16,NATURAL,412
7148,40,140,16,NATURAL,523
4822,39,120,18,NATURAL,518
6549,44,120,16,NATURAL,586
7434,21.5,80,18,NATURAL,
7351,41,140,16,NATURAL,554
7354,41,140,16,NATURAL,561
6505,49,120,16,NATURAL,552
7338,48,140,16,NATURAL,577
7276,36,100,16,NATURAL,441
7344,46,140,18,NATURAL,687
7433,34,80,18,NATURAL,320
7048,38.2,120,16,NATURAL,485
5031,26.5,140,16,NATURAL,282
4216,26,100,18,NATURAL,268
4152,29,120,16,NATURAL,347
5688,26,100,16,NATURAL,377
5771,50.5,100,16,NATURAL,585
7115,48,100,16,NATURAL,578
7095,51,80,16,NATURAL,589
5610,60.5,100,16,NATURAL,
7206,59,120,16,NATURAL,770
7334,27,140,16,NATURAL,329
7346,32,140,18,NATURAL,435
7343,28,140,16,NATURAL,
7407,32,100,18,NATURAL,409
7358,29,140,16,NATURAL,305
7402,32,100,18,NATURAL,388
7025,29,120,16,NATURAL,354
6239,29,140,18,NATURAL,363
7229,27,80,16,NATURAL,334
6203,27,100,16,NATURAL,244
3299,25,120,16,NATURAL,270
7238,27,80,16,NATURAL,308
2737,25,120,16,NATURAL,300
4204,26,80,16,NATURAL,329
4824,39,120,18,NATURAL,516
6292,29,100,18,NATURAL,349
6248,29,100,18,NATURAL,349
6538,28,120,16,NATURAL,293
6615,27,80,16,NATURAL,305
6600,28,80,16,NATURAL,349
6559,28,120,16,NATURAL,383
6618,27,80,16,NATURAL,318
6621,27,80,16,NATURAL,345
6221,28,100,16,NATURAL,273
6275,28,140,18,NATURAL,363
4224,33,120,16,NATURAL,390
5682,26,100,16,NATURAL,325
4253,52,80,16,NATURAL,559
4769,26,100,16,NATURAL,310
2803,34,140,16,NATURAL,449
6487,30,120,18,NATURAL,362
4955,26,80,16,NATURAL,314
6517,36,120,16,NATURAL,451
3898,27,140,18,NATURAL,298
6199,49,100,16,NATURAL,482
4964,26,80,16,NATURAL,329
4943,28,80,16,NATURAL,322
5679,26,100,16,NATURAL,352
3293,37,100,16,NATURAL,465
7684,34,80,18,GOLDEN,375
7820,30,140,18,GOLDEN,445
7853,28,140,18,GOLDEN,327
7866,30,140,18,GOLDEN,390
7867,25,140,18,GOLDEN,320
7875,25,140,18,GOLDEN,355
7865,30,140,18,GOLDEN,385
7874,25,140,18,GOLDEN,360
7873,30,140,18,GOLDEN,427
7457,28,80,18,GOLDEN,331
7706,25.5,80,18,GOLDEN,383
7705,25.5,80,18,GOLDEN,315
7447,34,80,18,GOLDEN,415
6119,46,120,18,GOLDEN,612
6131,55,120,18,GOLDEN,719
7696,34,80,18,GOLDEN,417
7692,34,80,18,GOLDEN,397
7680,34,80,18,GOLDEN,395
7435,34,80,18,GOLDEN,392
7704,34,80,18,GOLDEN,403
7700,34,80,18,GOLDEN,439
7824,30,140,18,GOLDEN,357
7712,34,80,18,GOLDEN,396
7688,34,80,18,GOLDEN,408
7676,34,80,18,GOLDEN,399
7672,34,80,18,GOLDEN,390
7439,34,80,18,GOLDEN,420
7443,34,80,18,GOLDEN,407
7482,34,80,18,GOLDEN,403
7664,34,80,18,GOLDEN,400
7644,34,80,18,GOLDEN,425
7476,34,80,18,GOLDEN,366
7660,30,100,18,GOLDEN,409
7451,34,80,18,GOLDEN,444
7648,34,80,18,GOLDEN,431
7668,34,80,18,GOLDEN,400
7437,34,80,18,GOLDEN,285
7441,25.5,80,18,GOLDEN,310
7440,25.5,80,18,GOLDEN,326
6700,25.5,80,18,GOLDEN,350
7656,28,120,18,GOLDEN,416
7478,34,80,18,GOLDEN,303
7482,25,100,18,GOLDEN,276
6153,25,100,18,GOLDEN,611
5888,48,120,18,GOLDEN,611
6128,44,120,18,GOLDEN,579
7885,46,120,18,GOLDEN,303
7880,28,140,18,GOLDEN,421
7877,30,140,18,GOLDEN,417
7883,30,140,18,GOLDEN,303
7879,25,140,18,GOLDEN,345
7881,25,140,18,GOLDEN,333
7882,28,140,18,GOLDEN,307
7878,25,140,18,GOLDEN,354